mode,environment,dogs,gen,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std,cap-avg,cap-max,cap-min,cap-std,mrph-avg,mrph-max,mrph-min,mrph-std
fixed,field,15dogs,30,0.6261925669227162,0.779537698171614,0.3957004550338163,0.06776763568952263,0.25668888888888886,0.5088888888888888,0.00444444444444444,0.10700596750524512,0.3416186036510793,0.708329508292459,0.14632630150684667,0.08883293989285579,0.29015621322083296,0.39676714419282005,0.22426821570243222,0.03177551638658342,,,,,,,,
fixed,field,15dogs,31,0.6230528621463457,0.7736013329609088,0.37970646992984325,0.06894170977291893,0.2623,0.5244444444444445,0.0033333333333333296,0.11000520779012271,0.3359712109168006,0.6732748541731145,0.14335212488037768,0.084280628513162,0.2906276807703715,0.4085488492532515,0.22352693200341323,0.03379614380345845,,,,,,,,
fixed,field,15dogs,32,0.6240386333274822,0.771642030418626,0.34238116328864315,0.06713409183857895,0.26659999999999995,0.5255555555555556,0.0033333333333333296,0.10873679865780157,0.339146460341681,0.6925159474249659,0.1357500366286295,0.08380918025327519,0.2904853509139332,0.41128577052752135,0.22403819993174,0.033936116249611605,,,,,,,,
fixed,field,15dogs,33,0.6257667691879627,0.7949293825680261,0.387498989680693,0.06880003498128043,0.26547777777777776,0.5122222222222221,0.00444444444444444,0.11146331841075027,0.3409184606444814,0.7334100866508539,0.11687507962994896,0.09468167330582553,0.29136609286887233,0.40020676504790503,0.2234094445323605,0.03364219867542094,,,,,,,,
fixed,field,15dogs,34,0.6245495197478086,0.7812068861283407,0.3883965674689899,0.06763948471076792,0.27651111111111104,0.5399999999999999,0.00555555555555555,0.11617487643436171,0.3416515250613274,0.6821487892041385,0.1401645205315413,0.08501134555641536,0.2902407699191017,0.3927082195203456,0.22489699445266703,0.031866175031303075,,,,,,,,
fixed,field,15dogs,35,0.6271401657840111,0.7908594887390734,0.3885606705807686,0.0672231772050956,0.28097777777777777,0.5311111111111111,0.0033333333333333296,0.1148673294676286,0.34201675249829644,0.7037949841068092,0.13638752824980907,0.08715405927251166,0.2899918481444196,0.4059294800321448,0.2236185716643873,0.03281925552962177,,,,,,,,
fixed,field,15dogs,36,0.6278291847409848,0.7887200016118138,0.385101392928713,0.06412868926930027,0.28968888888888883,0.5544444444444444,0.00555555555555555,0.11765334613609643,0.34503580540734324,0.69312805323806,0.14154249458963733,0.08671980245772629,0.28746465157537465,0.3974318836448636,0.2230806957863581,0.031242751961971772,,,,,,,,
fixed,field,15dogs,37,0.628477519156043,0.7730035449792778,0.3832263343956863,0.06452258379070178,0.29164444444444443,0.5844444444444444,0.00555555555555555,0.11705173519812444,0.34582738681905767,0.6932820559771027,0.14483270986744834,0.0876953239617868,0.2889787709551431,0.39605161955063645,0.21836616212143273,0.03315563633673821,,,,,,,,
fixed,field,15dogs,38,0.6251472502233673,0.776635562088839,0.37527525482818447,0.0664164943098509,0.3005333333333333,0.5788888888888889,0.006666666666666659,0.12084992609286357,0.3383329914059633,0.6850494997149643,0.1378465292844619,0.08615069285799065,0.28760756409684746,0.4045863750722817,0.21924695989868628,0.033013524595622915,,,,,,,,
fixed,field,15dogs,39,0.6243131408628926,0.7860670062903719,0.3527679356222792,0.06800944815845847,0.3105444444444444,0.5633333333333332,0.00555555555555555,0.1176224769213233,0.3359762710378558,0.6975965457752159,0.13875631988896409,0.08583255759505032,0.2879006702008158,0.4017851663768145,0.21946603728029074,0.03250405936563897,,,,,,,,
fixed,field,15dogs,40,0.6255412976383409,0.7772490153708584,0.3750413346767664,0.06854532352307587,0.3131555555555555,0.5722222222222222,0.00555555555555555,0.12065317359182523,0.33665392253786397,0.6745733750187952,0.12506166939382393,0.08702752165988682,0.28833119641709365,0.3996920292986362,0.21695108078589104,0.03399307377183901,,,,,,,,
fixed,field,15dogs,41,0.6253209792117793,0.7791542833117593,0.3888268191154501,0.06797071447173887,0.31645555555555555,0.5666666666666667,0.00555555555555555,0.1217745184474546,0.3341275730483892,0.6755326937845648,0.1435504470285508,0.08668080141004812,0.287604611890688,0.4010399092344147,0.2192679311391578,0.03341551017107782,,,,,,,,
fixed,field,15dogs,42,0.6215823639369371,0.7834649231765398,0.4067189437482545,0.06595812622077656,0.32304444444444436,0.5911111111111111,0.006666666666666659,0.12688481613377972,0.3287680882331296,0.6879756212450457,0.12790784042784342,0.085780036857353,0.2878594620429455,0.3925243799981442,0.220940196256545,0.032068646009994414,,,,,,,,
fixed,field,15dogs,43,0.6204163926857208,0.7782749449475365,0.38397181915057,0.06683522900779468,0.3311777777777777,0.5888888888888888,0.00222222222222222,0.12634684463024523,0.32943578564883197,0.6848184363907879,0.1509849787916586,0.08484171975850462,0.28912369300169133,0.40018195339099377,0.21982838611527522,0.03246507903833411,,,,,,,,
fixed,field,15dogs,44,0.6209760330806124,0.766709964786968,0.3861849786325871,0.065628176344546,0.33433333333333326,0.5922222222222222,0.01555555555555554,0.12153437354951868,0.32595193660724,0.6824213600068169,0.13632243417425455,0.08189313390209912,0.28697033788489734,0.39824967889311674,0.21547746870289455,0.03326091632772673,,,,,,,,
