group,metric,count,mean,std,min,max
ice__20dogs,pen-avg,20,0.37206482215932973,0.10641696534687915,0.22427314532747,0.6460782601675216
ice__20dogs,pen-max,20,0.7374501225558026,0.11747330901627834,0.5484132879777603,0.9598819779064596
ice__20dogs,pen-min,20,0.14792616516372203,0.09257691620257127,0.031883519216699824,0.3690931766805247
ice__20dogs,pen-std,20,0.08706022736008669,0.02406117457557187,0.053532867607969395,0.17525217590270328
ice__20dogs,shp-avg,20,0.36189956526509637,0.02016044131928935,0.3250733318855591,0.4023233731674532
ice__20dogs,shp-max,20,0.47070493134797997,0.03848390912559324,0.41891478077927763,0.599124551384358
ice__20dogs,shp-min,20,0.2631557640761911,0.02955505282463837,0.18569075738496413,0.2981590549476038
ice__20dogs,shp-std,20,0.038671311811908936,0.006465752405743166,0.031196430179880625,0.059228800306640114
ice_mud_high__15dogs,dog-avg,20,0.6578313200329596,0.07551336148864457,0.3659001214211451,0.7409112961968087
ice_mud_high__15dogs,dog-max,20,0.7785345464907492,0.03551733122055728,0.6816485577313868,0.8464170763535335
ice_mud_high__15dogs,dog-min,20,0.45034441527874236,0.11036109924860069,0.19837888955892713,0.6112984169633441
ice_mud_high__15dogs,dog-std,20,0.049727207667289934,0.013502001422686396,0.029117758062362904,0.08583614910628186
ice_mud_high__15dogs,fit-avg,20,0.4348666666666667,0.11486326600155165,0.11466666666666667,0.636888888888889
ice_mud_high__15dogs,fit-max,20,0.7055555555555556,0.1256833174939948,0.2888888888888889,0.8666666666666667
ice_mud_high__15dogs,fit-min,20,0.01,0.01644294287438749,0.0,0.06666666666666667
ice_mud_high__15dogs,fit-std,20,0.1454107354357904,0.02620987459327905,0.05706569746494381,0.18086813967810164
ice_mud_high__15dogs,gen,20,100.0,0.0,100.0,100.0
ice_mud_high__15dogs,pen-avg,20,0.3347267945226564,0.10005113060111709,0.10541211144118762,0.5496341025419443
ice_mud_high__15dogs,pen-max,20,0.6459284165957822,0.10647839561068782,0.33281610560746483,0.8124577095162602
ice_mud_high__15dogs,pen-min,20,0.17128690716878947,0.09129292443762042,0.04082953406931434,0.35484119478360276
ice_mud_high__15dogs,pen-std,20,0.07098634540769687,0.018206496907467923,0.044763046168566155,0.10385002166361372
ice_mud_high__15dogs,shp-avg,20,0.28235898247880525,0.03162629652048628,0.2348187131824321,0.3945965448934878
ice_mud_high__15dogs,shp-max,20,0.39177927776639515,0.04280229939813108,0.2908223129707979,0.46733616717752574
ice_mud_high__15dogs,shp-min,20,0.2184175639764769,0.03285116139701548,0.1411725069498817,0.3176212098840931
ice_mud_high__15dogs,shp-std,20,0.030002288020408656,0.003519261369342936,0.02399722187749733,0.03683195873736018
ice_mud_high__20dogs,dog-avg,20,0.6344305008301767,0.0345670555233616,0.5732368383712305,0.6837140890201318
ice_mud_high__20dogs,dog-max,20,0.7279827994959032,0.030407151951345766,0.6657685944958299,0.7849029671086242
ice_mud_high__20dogs,dog-min,20,0.3766221974950057,0.13890760405902072,0.1849540144359458,0.6168886706339335
ice_mud_high__20dogs,dog-std,20,0.05037286547609279,0.015088774383311144,0.024956613681477037,0.06946145525571258
ice_mud_high__20dogs,fit-avg,20,0.59605,0.11122620969098167,0.20566666666666666,0.7090000000000001
ice_mud_high__20dogs,fit-max,20,0.86,0.12631530214330944,0.3666666666666667,0.9666666666666667
